"stock_symbol","Company","Sector","Industry","city","location"
"AEP","American Electric Power","Utilities","Electric Utilities","Columbus","Ohio"
"AXP","American Express","Financials","Consumer Finance","New York","New York"
"AIG","American International Group","Financials","Property & Casualty Insurance","New York","New York"
"AMT","American Tower Corp.","Real Estate","Specialized REITs","Boston","Massachusetts"
"AWK","American Water Works","Utilities","Water Utilities","Camden","New Jersey"
"AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks","Minneapolis","Minnesota"
"ABC","AmerisourceBergen","Health Care","Health Care Distributors","Chesterbrook","Pennsylvania"
"AME","Ametek","Industrials","Electrical Components & Equipment","Berwyn","Pennsylvania"
"AMGN","Amgen Inc.","Health Care","Biotechnology","Thousand Oaks","California"
"APH","Amphenol Corp","Information Technology","Electronic Components","Wallingford","Connecticut"
"ADI","Analog Devices, Inc.","Information Technology","Semiconductors","Norwood","Massachusetts"
"ANSS","ANSYS, Inc.","Information Technology","Application Software","Canonsburg","Pennsylvania"
"ANTM","Anthem","Health Care","Managed Health Care","Indianapolis","Indiana"
"AOS","A.O. Smith Corp","Industrials","Building Products","Milwaukee","Wisconsin"
"APA","APA Corporation","Energy","Oil & Gas Exploration & Production","Houston","Texas"
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino","California"
"AMAT","Applied Materials Inc.","Information Technology","Semiconductor Equipment","Santa Clara","California"
"ADM","Archer-Daniels-Midland Co","Consumer Staples","Agricultural Products","Chicago","Illinois"
"ANET","Arista Networks","Information Technology","Communications Equipment","Santa Clara","California"
"AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers","Rolling Meadows","Illinois"
"AIZ","Assurant","Financials","Multi-line Insurance","New York","New York"
"T","AT&T Inc.","Communication Services","Integrated Telecommunication Services","Dallas","Texas"
"ATO","Atmos Energy","Utilities","Gas Utilities","Dallas","Texas"
"ADSK","Autodesk Inc.","Information Technology","Application Software","San Rafael","California"
"ADP","Automatic Data Processing","Information Technology","Data Processing & Outsourced Services","Roseland","New Jersey"
"AZO","AutoZone Inc","Consumer Discretionary","Specialty Stores","Memphis","Tennessee"
"AVB","AvalonBay Communities","Real Estate","Residential REITs","Arlington","Virginia"
"AVY","Avery Dennison Corp","Materials","Paper Packaging","Glendale","California"
"BKR","Baker Hughes Co","Energy","Oil & Gas Equipment & Services","Houston","Texas"
"BLL","Ball Corp","Materials","Metal & Glass Containers","Broomfield","Colorado"
"BAC","Bank of America Corp","Financials","Diversified Banks","Charlotte","North Carolina"
"BK","The Bank of New York Mellon","Financials","Asset Management & Custody Banks","New York","New York"
"BAX","Baxter International Inc.","Health Care","Health Care Equipment","Deerfield","Illinois"
"BDX","Becton Dickinson","Health Care","Health Care Equipment","Franklin Lakes","New Jersey"
"BRK.B","Berkshire Hathaway","Financials","Multi-Sector Holdings","Omaha","Nebraska"
"BBY","Best Buy Co. Inc.","Consumer Discretionary","Computer & Electronics Retail","Richfield","Minnesota"
"BIO","Bio-Rad Laboratories","Health Care","Life Sciences Tools & Services","Hercules","California"
"BIIB","Biogen Inc.","Health Care","Biotechnology","Cambridge","Massachusetts"
"BLK","BlackRock","Financials","Asset Management & Custody Banks","New York","New York"
"BA","Boeing Company","Industrials","Aerospace & Defense","Chicago","Illinois"
"BKNG","Booking Holdings Inc","Consumer Discretionary","Internet & Direct Marketing Retail","Norwalk","Connecticut"
"BWA","BorgWarner","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills","Michigan"
"BXP","Boston Properties","Real Estate","Office REITs","Boston","Massachusetts"
"BSX","Boston Scientific","Health Care","Health Care Equipment","Marlborough","Massachusetts"
"BMY","Bristol-Myers Squibb","Health Care","Health Care Distributors","New York","New York"
"AVGO","Broadcom Inc.","Information Technology","Semiconductors","San Jose","California"
"BR","Broadridge Financial Solutions","Information Technology","Data Processing & Outsourced Services","Lake Success","New York"
"BF.B","Brown-Forman Corp.","Consumer Staples","Distillers & Vintners","Louisville","Kentucky"
"CHRW","C. H. Robinson Worldwide","Industrials","Air Freight & Logistics","Eden Prairie","Minnesota"
"COG","Cabot Oil & Gas","Energy","Oil & Gas Exploration & Production","Houston","Texas"
"CDNS","Cadence Design Systems","Information Technology","Application Software","San Jose","California"
"CZR","Caesars Entertainment","Consumer Discretionary","Casinos & Gaming","Reno","Nevada"
"CPB","Campbell Soup","Consumer Staples","Packaged Foods & Meats","Camden","New Jersey"
"COF","Capital One Financial","Financials","Consumer Finance","Tysons Corner","Virginia"
"CAH","Cardinal Health Inc.","Health Care","Health Care Distributors","Dublin","Ohio"
"KMX","Carmax Inc","Consumer Discretionary","Specialty Stores","Richmond","Virginia"
"CCL","Carnival Corp.","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami","Florida"
"CARR","Carrier Global","Industrials","Building Products","Palm Beach Gardens","Florida"
"CTLT","Catalent","Health Care","Pharmaceuticals","Somerset","New Jersey"
"CAT","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Trucks","Deerfield","Illinois"
"CBOE","Cboe Global Markets","Financials","Financial Exchanges & Data","Chicago","Illinois"
"CBRE","CBRE Group","Real Estate","Real Estate Services","Dallas","Texas"
"CDW","CDW","Information Technology","Technology Distributors","Lincolnshire","Illinois"
"CE","Celanese","Materials","Specialty Chemicals","Irving","Texas"
"CNC","Centene Corporation","Health Care","Managed Health Care","St. Louis","Missouri"
"CNP","CenterPoint Energy","Utilities","Multi-Utilities","Houston","Texas"
"CERN","Cerner","Health Care","Health Care Technology","North Kansas City","Missouri"
"CF","CF Industries Holdings Inc","Materials","Fertilizers & Agricultural Chemicals","Deerfield","Illinois"
"SCHW","Charles Schwab Corporation","Financials","Investment Banking & Brokerage","Westlake","Texas"
"CHTR","Charter Communications","Communication Services","Cable & Satellite","Stamford","Connecticut"
"CVX","Chevron Corp.","Energy","Integrated Oil & Gas","San Ramon","California"
"CMG","Chipotle Mexican Grill","Consumer Discretionary","Restaurants","Newport Beach","California"
"CHD","Church & Dwight","Consumer Staples","Household Products","Ewing","New Jersey"
"CI","Cigna","Health Care","Managed Health Care","Bloomfield","Connecticut"
"CINF","Cincinnati Financial","Financials","Property & Casualty Insurance","Fairfield","Ohio"
"CTAS","Cintas Corporation","Industrials","Diversified Support Services","Mason","Ohio"
"CSCO","Cisco Systems","Information Technology","Communications Equipment","San Jose","California"
"C","Citigroup Inc.","Financials","Diversified Banks","New York","New York"
"CFG","Citizens Financial Group","Financials","Regional Banks","Providence","Rhode Island"
"CTXS","Citrix Systems","Information Technology","Application Software","Fort Lauderdale","Florida"
"CLX","The Clorox Company","Consumer Staples","Household Products","Oakland","California"
"CME","CME Group Inc.","Financials","Financial Exchanges & Data","Chicago","Illinois"
"CMS","CMS Energy","Utilities","Multi-Utilities","Jackson","Michigan"
"KO","Coca-Cola Company","Consumer Staples","Soft Drinks","Atlanta","Georgia"
"CTSH","Cognizant Technology Solutions","Information Technology","IT Consulting & Other Services","Teaneck","New Jersey"
"CL","Colgate-Palmolive","Consumer Staples","Household Products","New York","New York"
"CMCSA","Comcast Corp.","Communication Services","Cable & Satellite","Philadelphia","Pennsylvania"
"CMA","Comerica Inc.","Financials","Diversified Banks","Dallas","Texas"
"CAG","Conagra Brands","Consumer Staples","Packaged Foods & Meats","Chicago","Illinois"
"COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production","Houston","Texas"
"ED","Consolidated Edison","Utilities","Electric Utilities","New York","New York"
"STZ","Constellation Brands","Consumer Staples","Distillers & Vintners","Victor","New York"
"COO","The Cooper Companies","Health Care","Health Care Supplies","San Ramon","California"
"CPRT","Copart Inc","Industrials","Diversified Support Services","Dallas","Texas"
"GLW","Corning Inc.","Information Technology","Electronic Components","Corning","New York"
"CTVA","Corteva","Materials","Fertilizers & Agricultural Chemicals","Wilmington","Delaware"
"COST","Costco Wholesale Corp.","Consumer Staples","Hypermarkets & Super Centers","Issaquah","Washington"
"CCI","Crown Castle","Real Estate","Specialized REITs","Houston","Texas"
"CSX","CSX Corp.","Industrials","Railroads","Jacksonville","Florida"
"CMI","Cummins Inc.","Industrials","Industrial Machinery","Columbus","Indiana"
"CVS","CVS Health","Health Care","Health Care Services","Woonsocket","Rhode Island"
"DHI","D. R. Horton","Consumer Discretionary","Homebuilding","Arlington","Texas"
"DHR","Danaher Corp.","Health Care","Health Care Equipment","Washington","D.C."
"DRI","Darden Restaurants","Consumer Discretionary","Restaurants","Orlando","Florida"
"DVA","DaVita Inc.","Health Care","Health Care Facilities","Denver","Colorado"
"DE","Deere & Co.","Industrials","Agricultural & Farm Machinery","Moline","Illinois"
"DAL","Delta Air Lines Inc.","Industrials","Airlines","Atlanta","Georgia"
"XRAY","Dentsply Sirona","Health Care","Health Care Supplies","Charlotte","North Carolina"
"DVN","Devon Energy","Energy","Oil & Gas Exploration & Production","Oklahoma City","Oklahoma"
"DXCM","DexCom","Health Care","Health Care Equipment","San Diego","California"
"FANG","Diamondback Energy","Energy","Oil & Gas Exploration & Production","Midland","Texas"
"DLR","Digital Realty Trust Inc","Real Estate","Specialized REITs","Austin","Texas"
"DFS","Discover Financial Services","Financials","Consumer Finance","Riverwoods","Illinois"
"DISCA","Discovery, Inc. (Series A)","Communication Services","Broadcasting","New York","New York"
"DISCK","Discovery, Inc. (Series C)","Communication Services","Broadcasting","New York","New York"
"DISH","Dish Network","Communication Services","Cable & Satellite","Meridian","Colorado"
"DG","Dollar General","Consumer Discretionary","General Merchandise Stores","Goodlettsville","Tennessee"
"DLTR","Dollar Tree","Consumer Discretionary","General Merchandise Stores","Chesapeake","Virginia"
"D","Dominion Energy","Utilities","Electric Utilities","Richmond","Virginia"
"DPZ","Domino's Pizza","Consumer Discretionary","Restaurants","Ann Arbor","Michigan"
"DOV","Dover Corporation","Industrials","Industrial Machinery","Downers Grove","Illinois"
"DOW","Dow Inc.","Materials","Commodity Chemicals","Midland","Michigan"
"DTE","DTE Energy Co.","Utilities","Multi-Utilities","Detroit","Michigan"
"DUK","Duke Energy","Utilities","Electric Utilities","Charlotte","North Carolina"
"DRE","Duke Realty Corp","Real Estate","Industrial REITs","Indianapolis","Indiana"
"DD","DuPont de Nemours Inc","Materials","Specialty Chemicals","Wilmington","Delaware"
"DXC","DXC Technology","Information Technology","IT Consulting & Other Services","Tysons Corner","Virginia"
"EMN","Eastman Chemical","Materials","Diversified Chemicals","Kingsport","Tennessee"
"EBAY","eBay Inc.","Consumer Discretionary","Internet & Direct Marketing Retail","San Jose","California"
"ECL","Ecolab Inc.","Materials","Specialty Chemicals","St. Paul","Minnesota"
"EIX","Edison Int'l","Utilities","Electric Utilities","Rosemead","California"
"EW","Edwards Lifesciences","Health Care","Health Care Equipment","Irvine","California"
"EA","Electronic Arts","Communication Services","Interactive Home Entertainment","Redwood City","California"
"EMR","Emerson Electric Company","Industrials","Electrical Components & Equipment","Ferguson","Missouri"
"ENPH","Enphase Energy","Information Technology","Electronic Components","Fremont","California"
"ETR","Entergy Corp.","Utilities","Electric Utilities","New Orleans","Louisiana"
"EOG","EOG Resources","Energy","Oil & Gas Exploration & Production","Houston","Texas"
"EFX","Equifax Inc.","Industrials","Research & Consulting Services","Atlanta","Georgia"
"EQIX","Equinix","Real Estate","Specialized REITs","Redwood City","California"
"EQR","Equity Residential","Real Estate","Residential REITs","Chicago","Illinois"
"ESS","Essex Property Trust, Inc.","Real Estate","Residential REITs","San Mateo","California"
"EL","Estée Lauder Companies","Consumer Staples","Personal Products","New York","New York"
"ETSY","Etsy","Consumer Discretionary","Internet & Direct Marketing Retail","Brooklyn","New York"
"EVRG","Evergy","Utilities","Electric Utilities","Kansas City","Missouri"
"ES","Eversource Energy","Utilities","Multi-Utilities","Hartford","Connecticut"
"EXC","Exelon Corp.","Utilities","Multi-Utilities","Chicago","Illinois"
"EXPE","Expedia Group","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle","Washington"
"EXPD","Expeditors","Industrials","Air Freight & Logistics","Seattle","Washington"
"EXR","Extra Space Storage","Real Estate","Specialized REITs","Salt Lake City","Utah"
"XOM","Exxon Mobil Corp.","Energy","Integrated Oil & Gas","Irving","Texas"
"FFIV","F5 Networks","Information Technology","Communications Equipment","Seattle","Washington"
"FB","Facebook, Inc.","Communication Services","Interactive Media & Services","Menlo Park","California"
"FAST","Fastenal Co","Industrials","Building Products","Winona","Minnesota"
"FRT","Federal Realty Investment Trust","Real Estate","Retail REITs","Rockville","Maryland"
"FDX","FedEx Corporation","Industrials","Air Freight & Logistics","Memphis","Tennessee"
"FIS","Fidelity National Information Services","Information Technology","Data Processing & Outsourced Services","Jacksonville","Florida"
"FITB","Fifth Third Bancorp","Financials","Regional Banks","Cincinnati","Ohio"
"FE","FirstEnergy Corp","Utilities","Electric Utilities","Akron","Ohio"
"FRC","First Republic Bank","Financials","Regional Banks","San Francisco","California"
"FISV","Fiserv Inc","Information Technology","Data Processing & Outsourced Services","Brookfield","Wisconsin"
"FLT","FleetCor Technologies Inc","Information Technology","Data Processing & Outsourced Services","Norcross","Georgia"
"FLIR","FLIR Systems","Information Technology","Electronic Equipment & Instruments","Wilsonville","Oregon"
"FMC","FMC Corporation","Materials","Fertilizers & Agricultural Chemicals","Philadelphia","Pennsylvania"
"F","Ford Motor Company","Consumer Discretionary","Automobile Manufacturers","Dearborn","Michigan"
"FTNT","Fortinet","Information Technology","Systems Software","Sunnyvale","California"
"FTV","Fortive Corp","Industrials","Industrial Machinery","Everett","Washington"
"FBHS","Fortune Brands Home & Security","Industrials","Building Products","Deerfield","Illinois"
"FOXA","Fox Corporation (Class A)","Communication Services","Movies & Entertainment","New York","New York"
"FOX","Fox Corporation (Class B)","Communication Services","Movies & Entertainment","New York","New York"
"BEN","Franklin Resources","Financials","Asset Management & Custody Banks","San Mateo","California"
"FCX","Freeport-McMoRan Inc.","Materials","Copper","Phoenix","Arizona"
"GPS","Gap Inc.","Consumer Discretionary","Apparel Retail","San Francisco","California"
"IT","Gartner Inc","Information Technology","IT Consulting & Other Services","Stamford","Connecticut"
"GNRC","Generac Holdings","Industrials","Electrical Components & Equipment","Waukesha","Wisconsin"
"GD","General Dynamics","Industrials","Aerospace & Defense","Falls Church","Virginia"
"GE","General Electric","Industrials","Industrial Conglomerates","Boston","Massachusetts"
"GIS","General Mills","Consumer Staples","Packaged Foods & Meats","Golden Valley","Minnesota"
"GM","General Motors","Consumer Discretionary","Automobile Manufacturers","Detroit","Michigan"
"GPC","Genuine Parts","Consumer Discretionary","Specialty Stores","Atlanta","Georgia"
"GILD","Gilead Sciences","Health Care","Biotechnology","Foster City","California"
"GL","Globe Life Inc.","Financials","Life & Health Insurance","McKinney","Texas"
"GPN","Global Payments Inc.","Information Technology","Data Processing & Outsourced Services","Atlanta","Georgia"
"GS","Goldman Sachs Group","Financials","Investment Banking & Brokerage","New York","New York"
"GWW","Grainger (W.W.) Inc.","Industrials","Industrial Machinery","Lake Forest","Illinois"
"HAL","Halliburton Co.","Energy","Oil & Gas Equipment & Services","Houston","Texas"
"HBI","Hanesbrands Inc","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Winston-Salem","North Carolina"
"HIG","Hartford Financial Svc.Gp.","Financials","Property & Casualty Insurance","Hartford","Connecticut"
"HAS","Hasbro Inc.","Consumer Discretionary","Leisure Products","Pawtucket","Rhode Island"
"HCA","HCA Healthcare","Health Care","Health Care Facilities","Nashville","Tennessee"
"PEAK","Healthpeak Properties","Real Estate","Health Care REITs","Long Beach","California"
"HSIC","Henry Schein","Health Care","Health Care Distributors","Melville","New York"
"HSY","The Hershey Company","Consumer Staples","Packaged Foods & Meats","Hershey","Pennsylvania"
"HES","Hess Corporation","Energy","Integrated Oil & Gas","New York","New York"
"HPE","Hewlett Packard Enterprise","Information Technology","Technology Hardware, Storage & Peripherals","Houston","Texas"
"HLT","Hilton Worldwide Holdings Inc","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Tysons Corner","Virginia"
"HFC","HollyFrontier Corp","Energy","Oil & Gas Refining & Marketing","Dallas","Texas"
"HOLX","Hologic","Health Care","Health Care Equipment","Marlborough","Massachusetts"
"HD","Home Depot","Consumer Discretionary","Home Improvement Retail","Atlanta","Georgia"
"HON","Honeywell Int'l Inc.","Industrials","Industrial Conglomerates","Charlotte","North Carolina"
"HRL","Hormel Foods Corp.","Consumer Staples","Packaged Foods & Meats","Austin","Minnesota"
"HST","Host Hotels & Resorts","Real Estate","Hotel & Resort REITs","Bethesda","Maryland"
"HWM","Howmet Aerospace","Industrials","Aerospace & Defense","Pittsburgh","Pennsylvania"
"HPQ","HP Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto","California"
"HUM","Humana Inc.","Health Care","Managed Health Care","Louisville","Kentucky"
"HBAN","Huntington Bancshares","Financials","Regional Banks","Columbus","Ohio"
"HII","Huntington Ingalls Industries","Industrials","Aerospace & Defense","Newport News","Virginia"
"IEX","IDEX Corporation","Industrials","Industrial Machinery","Lake Forest","Illinois"
"IDXX","Idexx Laboratories","Health Care","Health Care Equipment","Westbrook","Maine"
"ITW","Illinois Tool Works","Industrials","Industrial Machinery","Glenview","Illinois"
"ILMN","Illumina Inc","Health Care","Life Sciences Tools & Services","San Diego","California"
"INCY","Incyte","Health Care","Biotechnology","Wilmington","Delaware"
"IR","Ingersoll Rand","Industrials","Industrial Machinery","Milwaukee","Wisconsin"
"INTC","Intel Corp.","Information Technology","Semiconductors","Santa Clara","California"
"ICE","Intercontinental Exchange","Financials","Financial Exchanges & Data","Atlanta","Georgia"
"IBM","International Business Machines","Information Technology","IT Consulting & Other Services","Armonk","New York"
"IP","International Paper","Materials","Paper Packaging","Memphis","Tennessee"
"IPG","Interpublic Group","Communication Services","Advertising","New York","New York"
"IFF","International Flavors & Fragrances","Materials","Specialty Chemicals","New York","New York"
"INTU","Intuit Inc.","Information Technology","Application Software","Mountain View","California"
"ISRG","Intuitive Surgical Inc.","Health Care","Health Care Equipment","Sunnyvale","California"
"IVZ","Invesco Ltd.","Financials","Asset Management & Custody Banks","Atlanta","Georgia"
"IPGP","IPG Photonics Corp.","Information Technology","Electronic Manufacturing Services","Oxford","Massachusetts"
"IQV","IQVIA Holdings Inc.","Health Care","Life Sciences Tools & Services","Durham","North Carolina"
"IRM","Iron Mountain Incorporated","Real Estate","Specialized REITs","Boston","Massachusetts"
"JKHY","Jack Henry & Associates","Information Technology","Data Processing & Outsourced Services","Monett","Missouri"
"J","Jacobs Engineering Group","Industrials","Construction & Engineering","Dallas","Texas"
"JBHT","J. B. Hunt Transport Services","Industrials","Trucking","Lowell","Arkansas"
"SJM","JM Smucker","Consumer Staples","Packaged Foods & Meats","Orrville","Ohio"
"JNJ","Johnson & Johnson","Health Care","Pharmaceuticals","New Brunswick","New Jersey"
"JPM","JPMorgan Chase & Co.","Financials","Diversified Banks","New York","New York"
"JNPR","Juniper Networks","Information Technology","Communications Equipment","Sunnyvale","California"
"KSU","Kansas City Southern","Industrials","Railroads","Kansas City","Missouri"
"K","Kellogg Co.","Consumer Staples","Packaged Foods & Meats","Battle Creek","Michigan"
"KEY","KeyCorp","Financials","Regional Banks","Cleveland","Ohio"
"KEYS","Keysight Technologies","Information Technology","Electronic Equipment & Instruments","Santa Rosa","California"
"KMB","Kimberly-Clark","Consumer Staples","Household Products","Irving","Texas"
"KIM","Kimco Realty","Real Estate","Retail REITs","New Hyde Park","New York"
"KMI","Kinder Morgan","Energy","Oil & Gas Storage & Transportation","Houston","Texas"
"KLAC","KLA Corporation","Information Technology","Semiconductor Equipment","Milpitas","California"
"KHC","Kraft Heinz Co","Consumer Staples","Packaged Foods & Meats","Chicago","Illinois; Pittsburgh, Pennsylvania"
"KR","Kroger Co.","Consumer Staples","Food Retail","Cincinnati","Ohio"
"LB","L Brands Inc.","Consumer Discretionary","Apparel Retail","Columbus","Ohio"
"LHX","L3Harris Technologies","Industrials","Aerospace & Defense","Melbourne","Florida"
"LH","Laboratory Corp. of America Holding","Health Care","Health Care Services","Burlington","North Carolina"
"LRCX","Lam Research","Information Technology","Semiconductor Equipment","Fremont","California"
"LW","Lamb Weston Holdings Inc","Consumer Staples","Packaged Foods & Meats","Eagle","Idaho"
"LVS","Las Vegas Sands","Consumer Discretionary","Casinos & Gaming","Las Vegas","Nevada"
"LEG","Leggett & Platt","Consumer Discretionary","Home Furnishings","Carthage","Missouri"
"LDOS","Leidos Holdings","Industrials","Diversified Support Services","Reston","Virginia"
"LEN","Lennar Corp.","Consumer Discretionary","Homebuilding","Miami","Florida"
"LLY","Lilly (Eli) & Co.","Health Care","Pharmaceuticals","Indianapolis","Indiana"
"LNC","Lincoln National","Financials","Multi-line Insurance","Radnor","Pennsylvania"
"LYV","Live Nation Entertainment","Communication Services","Movies & Entertainment","Beverly Hills","California"
"LKQ","LKQ Corporation","Consumer Discretionary","Distributors","Chicago","Illinois"
"LMT","Lockheed Martin Corp.","Industrials","Aerospace & Defense","Bethesda","Maryland"
"L","Loews Corp.","Financials","Multi-line Insurance","New York","New York"
"LOW","Lowe's Cos.","Consumer Discretionary","Home Improvement Retail","Mooresville","North Carolina"
"LUMN","Lumen Technologies","Communication Services","Alternative Carriers","Monroe","Louisiana"
"MTB","M&T Bank","Financials","Regional Banks","Buffalo","New York"
"MRO","Marathon Oil Corp.","Energy","Oil & Gas Exploration & Production","Houston","Texas"
"MPC","Marathon Petroleum","Energy","Oil & Gas Refining & Marketing","Findlay","Ohio"
"MKTX","MarketAxess","Financials","Financial Exchanges & Data","New York","New York"
"MAR","Marriott International","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Bethesda","Maryland"
"MMC","Marsh & McLennan","Financials","Insurance Brokers","New York","New York"
"MLM","Martin Marietta Materials","Materials","Construction Materials","Raleigh","North Carolina"
"MAS","Masco Corp.","Industrials","Building Products","Livonia","Michigan"
"MA","Mastercard Inc.","Information Technology","Data Processing & Outsourced Services","Harrison","New York"
"MKC","McCormick & Co.","Consumer Staples","Packaged Foods & Meats","Hunt Valley","Maryland"
"MXIM","Maxim Integrated Products","Information Technology","Semiconductors","San Jose","California"
"MCD","McDonald's Corp.","Consumer Discretionary","Restaurants","Chicago","Illinois"
"MCK","McKesson Corp.","Health Care","Health Care Distributors","Irving","Texas"
"MRK","Merck & Co.","Health Care","Pharmaceuticals","Kenilworth","New Jersey"
"MET","MetLife Inc.","Financials","Life & Health Insurance","New York","New York"
"MTD","Mettler Toledo","Health Care","Life Sciences Tools & Services","Columbus","Ohio"
"MGM","MGM Resorts International","Consumer Discretionary","Casinos & Gaming","Paradise","Nevada"
"MCHP","Microchip Technology","Information Technology","Semiconductors","Chandler","Arizona"
"MU","Micron Technology","Information Technology","Semiconductors","Boise","Idaho"
"MSFT","Microsoft Corp.","Information Technology","Systems Software","Redmond","Washington"
"MAA","Mid-America Apartments","Real Estate","Residential REITs","Memphis","Tennessee"
"MHK","Mohawk Industries","Consumer Discretionary","Home Furnishings","Calhoun","Georgia"
"TAP","Molson Coors Beverage Company","Consumer Staples","Brewers","Denver","Colorado"
"MDLZ","Mondelez International","Consumer Staples","Packaged Foods & Meats","Chicago","Illinois"
"MPWR","Monolithic Power Systems","Information Technology","Semiconductors","Kirkland","Washington"
"MNST","Monster Beverage","Consumer Staples","Soft Drinks","Corona","California"
"MCO","Moody's Corp","Financials","Financial Exchanges & Data","New York","New York"
"MS","Morgan Stanley","Financials","Investment Banking & Brokerage","New York","New York"
"MOS","The Mosaic Company","Materials","Fertilizers & Agricultural Chemicals","Tampa","Florida"
"MSI","Motorola Solutions Inc.","Information Technology","Communications Equipment","Chicago","Illinois"
"MSCI","MSCI Inc","Financials","Financial Exchanges & Data","New York","New York"
"NDAQ","Nasdaq, Inc.","Financials","Financial Exchanges & Data","New York","New York"
"NTAP","NetApp","Information Technology","Technology Hardware, Storage & Peripherals","Sunnyvale","California"
"NFLX","Netflix Inc.","Communication Services","Movies & Entertainment","Los Gatos","California"
"NWL","Newell Brands","Consumer Discretionary","Housewares & Specialties","Atlanta","Georgia"
"NEM","Newmont Corporation","Materials","Gold","Denver","Colorado"
"NWSA","News Corp (Class A)","Communication Services","Publishing","New York","New York"
"NWS","News Corp (Class B)","Communication Services","Publishing","New York","New York"
"NEE","NextEra Energy","Utilities","Multi-Utilities","Juno Beach","Florida"
"NLSN","Nielsen Holdings","Industrials","Research & Consulting Services","New York","New York"
"NKE","Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Washington County","Oregon"
"NI","NiSource Inc.","Utilities","Multi-Utilities","Merrillville","Indiana"
"NSC","Norfolk Southern Corp.","Industrials","Railroads","Norfolk","Virginia"
"NTRS","Northern Trust Corp.","Financials","Asset Management & Custody Banks","Chicago","Illinois"
"NOC","Northrop Grumman","Industrials","Aerospace & Defense","West Falls Church","Virginia"
"NLOK","NortonLifeLock","Information Technology","Application Software","Tempe","Arizona"
"NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami","Florida"
"NOV","NOV Inc.","Energy","Oil & Gas Equipment & Services","Houston","Texas"
"NRG","NRG Energy","Utilities","Independent Power Producers & Energy Traders","Princeton","New Jersey"
"NUE","Nucor Corp.","Materials","Steel","Charlotte","North Carolina"
"NVDA","Nvidia Corporation","Information Technology","Semiconductors","Santa Clara","California"
"NVR","NVR, Inc.","Consumer Discretionary","Homebuilding","Reston","Virginia"
"ORLY","O'Reilly Automotive","Consumer Discretionary","Specialty Stores","Springfield","Missouri"
"OXY","Occidental Petroleum","Energy","Oil & Gas Exploration & Production","Houston","Texas"
